origin_id,destination_id,fare_id
TPHT,ALVA,F1
TPHT,PNCU,F1
TPHT,CPPY,F1
TPHT,ATTK,F1
TPHT,MUTT,F1
TPHT,KLMT,F1
TPHT,CCUV,F1
TPHT,PDPM,F1
TPHT,EDAP,F2
TPHT,CGPP,F2
TPHT,PARV,F2
TPHT,JLSD,F2
TPHT,KALR,F2
TPHT,TNHL,F3
TPHT,MGRD,F3
TPHT,MACE,F3
TPHT,ERSH,F3
TPHT,KVTR,F4
TPHT,EMKM,F4
TPHT,VYTA,F4
TPHT,THYK,F5
TPHT,PETT,F5
TPHT,VAKK,F5
TPHT,SNJN,F6
PNCU,TPHT,F1
CPPY,TPHT,F1
ATTK,TPHT,F1
MUTT,TPHT,F1
KLMT,TPHT,F1
CCUV,TPHT,F1
PDPM,TPHT,F1
EDAP,TPHT,F2
CGPP,TPHT,F2
PARV,TPHT,F2
JLSD,TPHT,F2
KALR,TPHT,F2
TNHL,TPHT,F3
MGRD,TPHT,F3
MACE,TPHT,F3
ERSH,TPHT,F3
KVTR,TPHT,F4
EMKM,TPHT,F4
VYTA,TPHT,F4
THYK,TPHT,F5
PETT,TPHT,F5
VAKK,TPHT,F5
SNJN,TPHT,F6
TPHT,TPHT,F6
ALVA,TPHT,F1
PNCU,ALVA,F6
ALVA,ALVA,F6
CPPY,ALVA,F5
ATTK,ALVA,F5
MUTT,ALVA,F5
KLMT,ALVA,F4
CCUV,ALVA,F4
ALVA,MACE,F2
PDPM,ALVA,F4
EDAP,ALVA,F3
CGPP,ALVA,F3
PARV,ALVA,F3
JLSD,ALVA,F3
KALR,ALVA,F2
TNHL,ALVA,F2
MGRD,ALVA,F2
MACE,ALVA,F2
ERSH,ALVA,F2
KVTR,ALVA,F1
EMKM,ALVA,F1
VYTA,ALVA,F1
THYK,ALVA,F1
PETT,ALVA,F1
VAKK,ALVA,F1
SNJN,ALVA,F1
ALVA,PNCU,F6
PNCU,PNCU,F6
CPPY,PNCU,F6
ATTK,PNCU,F5
MUTT,PNCU,F5
KLMT,PNCU,F5
CCUV,PNCU,F4
PDPM,PNCU,F4
EDAP,PNCU,F4
CGPP,PNCU,F3
PARV,PNCU,F3
JLSD,PNCU,F3
KALR,PNCU,F3
TNHL,PNCU,F2
MGRD,PNCU,F2
MACE,PNCU,F2
ERSH,PNCU,F2
KVTR,PNCU,F2
EMKM,PNCU,F1
VYTA,PNCU,F1
THYK,PNCU,F1
PETT,PNCU,F1
VAKK,PNCU,F1
SNJN,PNCU,F1
ALVA,CPPY,F5
PNCU,CPPY,F6
CPPY,CPPY,F6
ATTK,CPPY,F6
MUTT,CPPY,F5
KLMT,CPPY,F5
CCUV,CPPY,F5
PDPM,CPPY,F4
EDAP,CPPY,F4
CGPP,CPPY,F4
PARV,CPPY,F3
JLSD,CPPY,F3
KALR,CPPY,F3
TNHL,CPPY,F3
MGRD,CPPY,F2
MACE,CPPY,F2
ERSH,CPPY,F2
KVTR,CPPY,F2
EMKM,CPPY,F2
VYTA,CPPY,F1
THYK,CPPY,F1
PETT,CPPY,F1
VAKK,CPPY,F1
SNJN,CPPY,F1
ALVA,ATTK,F5
PNCU,ATTK,F5
CPPY,ATTK,F6
ATTK,ATTK,F6
MUTT,ATTK,F6
KLMT,ATTK,F5
CCUV,ATTK,F5
PDPM,ATTK,F5
EDAP,ATTK,F4
CGPP,ATTK,F4
PARV,ATTK,F4
JLSD,ATTK,F3
KALR,ATTK,F3
TNHL,ATTK,F3
MGRD,ATTK,F3
MACE,ATTK,F2
ERSH,ATTK,F2
KVTR,ATTK,F2
EMKM,ATTK,F2
VYTA,ATTK,F2
THYK,ATTK,F1
PETT,ATTK,F1
VAKK,ATTK,F1
SNJN,ATTK,F1
ALVA,MUTT,F5
PNCU,MUTT,F5
CPPY,MUTT,F5
ATTK,MUTT,F6
MUTT,MUTT,F6
KLMT,MUTT,F6
CCUV,MUTT,F5
PDPM,MUTT,F5
EDAP,MUTT,F5
CGPP,MUTT,F4
PARV,MUTT,F4
JLSD,MUTT,F4
KALR,MUTT,F3
TNHL,MUTT,F3
MGRD,MUTT,F3
MACE,MUTT,F3
ERSH,MUTT,F2
KVTR,MUTT,F2
EMKM,MUTT,F2
VYTA,MUTT,F2
THYK,MUTT,F2
PETT,MUTT,F1
VAKK,MUTT,F1
SNJN,MUTT,F1
ALVA,KLMT,F4
PNCU,KLMT,F5
CPPY,KLMT,F5
ATTK,KLMT,F5
MUTT,KLMT,F6
KLMT,KLMT,F6
CCUV,KLMT,F6
PDPM,KLMT,F5
EDAP,KLMT,F5
CGPP,KLMT,F5
PARV,KLMT,F4
JLSD,KLMT,F4
KALR,KLMT,F4
TNHL,KLMT,F3
MGRD,KLMT,F3
MACE,KLMT,F3
ERSH,KLMT,F3
KVTR,KLMT,F2
EMKM,KLMT,F2
VYTA,KLMT,F2
THYK,KLMT,F2
PETT,KLMT,F2
VAKK,KLMT,F1
SNJN,KLMT,F1
ALVA,CCUV,F4
PNCU,CCUV,F4
CPPY,CCUV,F5
ATTK,CCUV,F5
MUTT,CCUV,F5
KLMT,CCUV,F6
CCUV,CCUV,F6
PDPM,CCUV,F6
EDAP,CCUV,F5
CGPP,CCUV,F5
PARV,CCUV,F5
JLSD,CCUV,F4
KALR,CCUV,F4
TNHL,CCUV,F4
MGRD,CCUV,F3
MACE,CCUV,F3
ERSH,CCUV,F3
KVTR,CCUV,F3
EMKM,CCUV,F2
VYTA,CCUV,F2
THYK,CCUV,F2
PETT,CCUV,F2
VAKK,CCUV,F2
SNJN,CCUV,F1
ALVA,PDPM,F4
