shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
R1_0,1,10.111073,76.349005,0.0
R1_0,2,10.110612,76.349225,0.05663633481090469
R1_0,3,10.11023,76.34939,0.10279368258131671
R1_0,4,10.109944,76.349489,0.13639134350647203
R1_0,5,10.109665,76.349567,0.16856835173719587
R1_0,6,10.10928,76.34968,0.21312978249038916
R1_0,7,10.10867,76.349816,0.2825734187692491
R1_0,8,10.108132,76.349916,0.34338970321607365
R1_0,9,10.107836,76.349969,0.37681089694363895
R1_0,10,10.107647,76.350003,0.39815380560734875
R1_0,11,10.107168,76.350085,0.4521673710325047
R1_0,12,10.10684,76.350123,0.48887581789548207
R1_0,13,10.106508,76.350158,0.5259908764426123
R1_0,14,10.106104,76.350173,0.5709436893884675
R1_0,15,10.10571,76.350159,0.6147813489099526
R1_0,16,10.105427,76.350153,0.6462564106073545
R1_0,17,10.105146,76.350132,0.6775866823590883
R1_0,18,10.104851,76.350097,0.710612237073403
R1_0,19,10.104505,76.350036,0.7496609446750715
R1_0,20,10.103986,76.349931,0.8085047529426337
R1_0,21,10.103537,76.34981,0.8601585967671314
R1_0,22,10.103105,76.349663,0.9108186671617763
R1_0,23,10.102702,76.349501,0.959011883137419
R1_0,24,10.102306,76.349328,1.006945105213863
R1_0,25,10.101962,76.349149,1.0499232933601188
R1_0,26,10.101614,76.34896,1.0938032544618033
R1_0,27,10.100667,76.348323,1.2201013069997324
R1_0,28,10.100146,76.348002,1.2878585268419378
R1_0,29,10.099589,76.347675,1.359395054080768
R1_0,30,10.099002,76.347356,1.4334213301015255
R1_0,31,10.098692,76.347213,1.4712799914256063
R1_0,32,10.098354,76.347081,1.511546170652379
R1_0,33,10.097672,76.346897,1.5900107657188591
R1_0,34,10.097381,76.346842,1.6229239489393879
R1_0,35,10.097023,76.346788,1.6631683307174245
R1_0,36,10.096422,76.346727,1.7303293896225347
R1_0,37,10.095836,76.346672,1.7957672967246245
R1_0,38,10.095263,76.346612,1.8598197538588475
R1_0,39,10.095034,76.346579,1.885538419049279
R1_0,40,10.094802,76.346528,1.9119329294345508
R1_0,41,10.094312,76.346413,1.967854074952091
R1_0,42,10.093838,76.346277,2.0226230244843455
R1_0,43,10.093223,76.346084,2.0941975896212717
R1_0,44,10.092429,76.345752,2.1896749324470246
R1_0,45,10.09218,76.345637,2.220090374242131
R1_0,46,10.091901,76.345494,2.2548398780213996
R1_0,47,10.091166,76.345081,2.3482409064475886
R1_0,48,10.090452,76.34466,2.4400422632338135
R1_0,49,10.08975,76.344259,2.529598797194554
R1_0,50,10.088828,76.343699,2.649052538182013
R1_0,51,10.08728,76.342786,2.8480978760982394
R1_0,52,10.086464,76.342302,2.953171421838891
R1_0,53,10.085773,76.341914,3.04096680930811
R1_0,54,10.085085,76.341513,3.129170088836485
R1_0,55,10.084632,76.341266,3.186340725864316
R1_0,56,10.084222,76.341051,3.2376482801040605
R1_0,57,10.083455,76.340641,3.3340253417290597
R1_0,58,10.082965,76.340384,3.3953466249243394
R1_0,59,10.082448,76.340135,3.458970202324803
R1_0,60,10.081756,76.339806,3.543929929403053
R1_0,61,10.081167,76.339565,3.614538568072803
R1_0,62,10.080682,76.339377,3.672262215290583
R1_0,63,10.080162,76.339188,3.733674389897176
R1_0,64,10.079233,76.338857,3.8431462716379516
R1_0,65,10.077979,76.338384,3.9918899387786735
R1_0,66,10.077665,76.338245,4.029977360849465
R1_0,67,10.077368,76.338085,4.067360276264375
R1_0,68,10.077196,76.337971,4.090197836036274
R1_0,69,10.077038,76.337855,4.111876039074242
R1_0,70,10.076825,76.337688,4.1417964407201895
R1_0,71,10.076615,76.337508,4.172351450226744
R1_0,72,10.076265,76.337144,4.2280534242399375
R1_0,73,10.075975,76.336803,4.277384663758518
R1_0,74,10.075261,76.336068,4.390426179841606
R1_0,75,10.074797,76.335563,4.466048352820147
R1_0,76,10.074515,76.335277,4.510361645373563
R1_0,77,10.074311,76.33505,4.54400954852827
R1_0,78,10.074044,76.334768,4.586841991590192
R1_0,79,10.073882,76.334613,4.611589808223677
R1_0,80,10.073646,76.334389,4.647507168015583
R1_0,81,10.073384,76.334167,4.685447379384966
R1_0,82,10.073269,76.334078,4.701524078259166
R1_0,83,10.072749,76.33368,4.773925504593257
R1_0,84,10.072219,76.333236,4.850319521272719
R1_0,85,10.071763,76.332879,4.914339984501286
R1_0,86,10.071511,76.332668,4.950655593582642
R1_0,87,10.071301,76.332474,4.982221101463898
R1_0,88,10.071101,76.33226,5.014524286737937
R1_0,89,10.070784,76.331923,5.0655512253560335
R1_0,90,10.070521,76.331658,5.106745474402411
R1_0,91,10.070346,76.331489,5.133596894890633
R1_0,92,10.06983,76.330993,5.212596318693741
R1_0,93,10.068937,76.330061,5.35497465317461
R1_0,94,10.068701,76.329821,5.392110381901711
R1_0,95,10.0684,76.329553,5.436620336953678
R1_0,96,10.068059,76.329293,5.484033662023489
R1_0,97,10.067712,76.329012,5.533381849800683
R1_0,98,10.067442,76.328813,5.570476844757837
R1_0,99,10.067121,76.328612,5.612408962466627
R1_0,100,10.066517,76.328277,5.688932839527768
R1_0,101,10.066176,76.328092,5.731920977217792
R1_0,102,10.065892,76.327932,5.76803352774662
R1_0,103,10.065473,76.327678,5.822292423530675
R1_0,104,10.065071,76.327454,5.873278417049492
R1_0,105,10.064489,76.327098,5.948824757297865
R1_0,106,10.06426,76.326937,5.979794213036829
R1_0,107,10.064042,76.32675,6.011523826768541
R1_0,108,10.063707,76.326435,6.062287766653709
R1_0,109,10.063496,76.326214,6.095991188820688
R1_0,110,10.063176,76.32587,6.1478041418423865
R1_0,111,10.062931,76.325562,6.191154922068518
R1_0,112,10.062607,76.325079,6.255142140542642
R1_0,113,10.062372,76.324671,6.306893532085692
R1_0,114,10.062073,76.324201,6.3681576577320405
R1_0,115,10.061827,76.323855,6.414883110956872
R1_0,116,10.061624,76.3236,6.450785387883273
R1_0,117,10.061369,76.32334,6.490963868252491
R1_0,118,10.061107,76.323108,6.5296152004923975
R1_0,119,10.060807,76.32287,6.571944657442596
R1_0,120,10.060563,76.322713,6.604063060735412
R1_0,121,10.060281,76.322559,6.639665686280463
R1_0,122,10.060019,76.322435,6.6718068007127345
R1_0,123,10.059679,76.322316,6.711795142719952
R1_0,124,10.059147,76.322128,6.774429632498014
R1_0,125,10.058591,76.321935,6.839765488443671
R1_0,126,10.058161,76.321789,6.890180630917773
