trip_id,stop_sequence,stop_id,arrival_time,departure_time,timepoint,shape_dist_traveled
WE_1,1,TPHT,22:50:19,22:52:41,1,0.0
WE_1,2,SNJN,22:54:30,22:54:45,1,0.99
WE_1,3,VAKK,22:56:08,22:56:23,1,1.72
WE_1,4,PETT,22:58:35,22:58:50,1,2.94
WE_1,5,THYK,23:00:43,23:00:58,1,4.08
WE_1,6,VYTA,23:02:32,23:02:47,1,5.13
WE_1,7,EMKM,23:05:02,23:05:17,1,6.52
WE_1,8,KVTR,23:06:58,23:07:13,1,7.69
WE_1,9,ERSH,23:09:31,23:09:46,1,8.85
WE_1,10,MACE,23:11:46,23:12:01,1,9.73
WE_1,11,MGRD,23:13:48,23:14:03,1,10.91
WE_1,12,TNHL,23:15:50,23:16:05,1,12.12
WE_1,13,KALR,23:17:08,23:17:23,1,12.58
WE_1,14,JLSD,23:19:04,23:19:19,1,13.64
WE_1,15,PARV,23:20:58,23:21:13,1,14.73
WE_1,16,CGPP,23:22:53,23:23:08,1,15.75
WE_1,17,EDAP,23:24:54,23:25:09,1,17.05
WE_1,18,PDPM,23:27:01,23:27:16,1,18.44
WE_1,19,CCUV,23:28:54,23:29:09,1,19.69
WE_1,20,KLMT,23:30:58,23:31:13,1,21.07
WE_1,21,MUTT,23:33:49,23:33:49,1,23.12
WE_10,1,ALVA,11:32:44,11:37:10,1,0.14
WE_10,2,PNCU,11:39:10,11:39:30,1,1.87
WE_10,3,CPPY,11:40:57,11:41:17,1,2.83
WE_10,4,ATTK,11:42:43,11:43:03,1,3.82
WE_10,5,MUTT,11:44:29,11:44:59,1,4.76
WE_10,6,KLMT,11:47:25,11:47:45,1,6.81
WE_10,7,CCUV,11:49:34,11:49:54,1,8.2
WE_10,8,PDPM,11:51:38,11:52:08,1,9.44
WE_10,9,EDAP,11:54:00,11:54:30,1,10.83
WE_10,10,CGPP,11:56:22,11:56:42,1,12.13
WE_10,11,PARV,11:58:14,11:58:34,1,13.15
WE_10,12,JLSD,12:00:19,12:00:39,1,14.25
WE_10,13,KALR,12:02:08,12:02:28,1,15.3
WE_10,14,TNHL,12:03:25,12:03:45,1,15.77
WE_10,15,MGRD,12:05:43,12:06:13,1,16.97
WE_10,16,MACE,12:07:53,12:08:13,1,18.15
WE_10,17,ERSH,12:10:06,12:10:36,1,19.02
WE_10,18,KVTR,12:12:39,12:12:59,1,20.18
WE_10,19,EMKM,12:14:46,12:15:06,1,21.35
WE_10,20,VYTA,12:17:08,12:17:28,1,22.75
WE_10,21,THYK,12:19:08,12:19:28,1,23.8
WE_10,22,PETT,12:21:26,12:21:46,1,24.94
WE_10,23,VAKK,12:23:47,12:24:07,1,26.14
WE_10,24,SNJN,12:25:25,12:25:45,1,26.87
WE_10,25,TPHT,12:27:48,12:27:48,1,27.87
WE_100,1,ALVA,16:50:39,16:55:05,1,0.14
WE_100,2,PNCU,16:57:05,16:57:25,1,1.87
WE_100,3,CPPY,16:58:52,16:59:12,1,2.83
WE_100,4,ATTK,17:00:38,17:00:58,1,3.82
WE_100,5,MUTT,17:02:24,17:02:54,1,4.76
WE_100,6,KLMT,17:05:20,17:05:40,1,6.81
WE_100,7,CCUV,17:07:29,17:07:49,1,8.2
WE_100,8,PDPM,17:09:33,17:10:03,1,9.44
WE_100,9,EDAP,17:11:55,17:12:25,1,10.83
WE_100,10,CGPP,17:14:17,17:14:37,1,12.13
WE_100,11,PARV,17:16:09,17:16:29,1,13.15
WE_100,12,JLSD,17:18:14,17:18:34,1,14.25
WE_100,13,KALR,17:20:03,17:20:23,1,15.3
WE_100,14,TNHL,17:21:20,17:21:40,1,15.77
WE_100,15,MGRD,17:23:38,17:24:08,1,16.97
WE_100,16,MACE,17:25:48,17:26:08,1,18.15
WE_100,17,ERSH,17:28:01,17:28:31,1,19.02
WE_100,18,KVTR,17:30:34,17:30:54,1,20.18
WE_100,19,EMKM,17:32:41,17:33:01,1,21.35
WE_100,20,VYTA,17:35:03,17:35:23,1,22.75
WE_100,21,THYK,17:37:03,17:37:23,1,23.8
WE_100,22,PETT,17:39:21,17:39:41,1,24.94
WE_100,23,VAKK,17:41:42,17:42:02,1,26.14
WE_100,24,SNJN,17:43:20,17:43:40,1,26.87
WE_100,25,TPHT,17:45:43,17:45:43,1,27.87
WE_101,1,TPHT,16:05:48,16:09:46,1,0.0
WE_101,2,SNJN,16:11:28,16:11:48,1,0.99
WE_101,3,VAKK,16:13:06,16:13:26,1,1.72
WE_101,4,PETT,16:15:34,16:15:54,1,2.94
WE_101,5,THYK,16:17:47,16:18:07,1,4.08
WE_101,6,VYTA,16:19:41,16:20:01,1,5.13
WE_101,7,EMKM,16:22:07,16:22:27,1,6.52
WE_101,8,KVTR,16:24:08,16:24:28,1,7.69
WE_101,9,ERSH,16:26:38,16:27:08,1,8.85
WE_101,10,MACE,16:29:02,16:29:22,1,9.73
WE_101,11,MGRD,16:31:02,16:31:32,1,10.91
WE_101,12,TNHL,16:33:19,16:33:39,1,12.12
WE_101,13,KALR,16:34:39,16:34:59,1,12.58
WE_101,14,JLSD,16:36:31,16:36:51,1,13.64
WE_101,15,PARV,16:38:30,16:38:50,1,14.73
WE_101,16,CGPP,16:40:21,16:40:41,1,15.75
WE_101,17,EDAP,16:42:27,16:42:57,1,17.05
WE_101,18,PDPM,16:44:49,16:45:09,1,18.44
WE_101,19,CCUV,16:46:47,16:47:17,1,19.69
WE_101,20,KLMT,16:49:06,16:49:26,1,21.07
WE_101,21,MUTT,16:51:54,16:52:24,1,23.12
WE_101,22,ATTK,16:53:51,16:54:11,1,24.06
