route_id,service_id,trip_id,direction_id,shape_id
R1,WK,WK_1,0,R1_0
R1,WK,WK_2,1,R1_1
R1,WK,WK_22,0,R1_0
R1,WK,WK_54,1,R1_1
R1,WK,WK_55,0,R1_0
R1,WK,WK_56,1,R1_1
R1,WK,WK_83,0,R1_0
R1,WK,WK_84,1,R1_1
R1,WK,WK_120,0,R1_0
R1,WK,WK_121,1,R1_1
R1,WK,WK_146,0,R1_0
R1,WK,WK_147,1,R1_1
R1,WK,WK_166,0,R1_0
R1,WK,WK_201,1,R1_1
R1,WK,WK_202,0,R1_0
R1,WK,WK_218,1,R1_1
R1,WK,WK_233,0,R1_0
R1,WK,WK_234,1,R1_1
R1,WK,WK_252,0,R1_0
R1,WK,WK_253,1,R1_1
R1,WK,WK_4,0,R1_0
R1,WK,WK_3,1,R1_1
R1,WK,WK_5,0,R1_0
R1,WK,WK_14,1,R1_1
R1,WK,WK_32,0,R1_0
R1,WK,WK_76,1,R1_1
R1,WK,WK_77,0,R1_0
R1,WK,WK_99,1,R1_1
R1,WK,WK_100,0,R1_0
R1,WK,WK_101,1,R1_1
R1,WK,WK_134,0,R1_0
R1,WK,WK_135,1,R1_1
R1,WK,WK_160,0,R1_0
R1,WK,WK_183,1,R1_1
R1,WK,WK_184,0,R1_0
R1,WK,WK_185,1,R1_1
R1,WK,WK_211,0,R1_0
R1,WK,WK_6,0,R1_0
R1,WK,WK_7,1,R1_1
R1,WK,WK_23,0,R1_0
R1,WK,WK_57,1,R1_1
R1,WK,WK_58,0,R1_0
R1,WK,WK_59,1,R1_1
R1,WK,WK_85,0,R1_0
R1,WK,WK_86,1,R1_1
R1,WK,WK_122,0,R1_0
R1,WK,WK_123,1,R1_1
R1,WK,WK_148,0,R1_0
R1,WK,WK_149,1,R1_1
R1,WK,WK_167,0,R1_0
R1,WK,WK_168,1,R1_1
R1,WK,WK_205,0,R1_0
R1,WK,WK_219,1,R1_1
R1,WK,WK_235,0,R1_0
R1,WK,WK_9,1,R1_1
R1,WK,WK_8,0,R1_0
R1,WK,WK_10,1,R1_1
R1,WK,WK_27,0,R1_0
R1,WK,WK_67,1,R1_1
R1,WK,WK_68,0,R1_0
R1,WK,WK_82,1,R1_1
R1,WK,WK_91,0,R1_0
R1,WK,WK_92,1,R1_1
R1,WK,WK_128,0,R1_0
R1,WK,WK_129,1,R1_1
R1,WK,WK_154,0,R1_0
R1,WK,WK_155,1,R1_1
R1,WK,WK_177,0,R1_0
R1,WK,WK_178,1,R1_1
R1,WK,WK_208,0,R1_0
R1,WK,WK_222,1,R1_1
R1,WK,WK_240,0,R1_0
R1,WK,WK_243,1,R1_1
R1,WK,WK_256,0,R1_0
R1,WK,WK_12,1,R1_1
R1,WK,WK_11,0,R1_0
R1,WK,WK_13,1,R1_1
R1,WK,WK_28,0,R1_0
R1,WK,WK_72,1,R1_1
R1,WK,WK_73,0,R1_0
R1,WK,WK_96,1,R1_1
R1,WK,WK_97,0,R1_0
R1,WK,WK_98,1,R1_1
R1,WK,WK_132,0,R1_0
R1,WK,WK_133,1,R1_1
R1,WK,WK_158,0,R1_0
R1,WK,WK_159,1,R1_1
R1,WK,WK_181,0,R1_0
R1,WK,WK_182,1,R1_1
R1,WK,WK_210,0,R1_0
R1,WK,WK_224,1,R1_1
R1,WK,WK_244,0,R1_0
R1,WK,WK_245,1,R1_1
R1,WK,WK_15,1,R1_1
R1,WK,WK_16,0,R1_0
R1,WK,WK_24,1,R1_1
R1,WK,WK_38,0,R1_0
R1,WK,WK_39,1,R1_1
R1,WK,WK_78,0,R1_0
R1,WK,WK_102,1,R1_1
R1,WK,WK_103,0,R1_0
R1,WK,WK_104,1,R1_1
R1,WK,WK_136,0,R1_0
R1,WK,WK_137,1,R1_1
R1,WK,WK_161,0,R1_0
R1,WK,WK_186,1,R1_1
R1,WK,WK_187,0,R1_0
R1,WK,WK_188,1,R1_1
R1,WK,WK_212,0,R1_0
R1,WK,WK_225,1,R1_1
R1,WK,WK_246,0,R1_0
R1,WK,WK_250,1,R1_1
R1,WK,WK_18,0,R1_0
R1,WK,WK_17,1,R1_1
R1,WK,WK_19,0,R1_0
R1,WK,WK_36,1,R1_1
R1,WK,WK_46,0,R1_0
R1,WK,WK_47,1,R1_1
R1,WK,WK_113,0,R1_0
R1,WK,WK_112,1,R1_1
R1,WK,WK_114,0,R1_0
R1,WK,WK_115,1,R1_1
R1,WK,WK_142,0,R1_0
R1,WK,WK_143,1,R1_1
R1,WK,WK_164,0,R1_0
R1,WK,WK_197,1,R1_1
R1,WK,WK_198,0,R1_0
R1,WK,WK_216,1,R1_1
R1,WK,WK_228,0,R1_0
R1,WK,WK_232,1,R1_1
R1,WK,WK_249,0,R1_0
R1,WK,WK_20,1,R1_1
R1,WK,WK_21,0,R1_0
R1,WK,WK_37,1,R1_1
R1,WK,WK_52,0,R1_0
